username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
SirJadeja;2016-04-12 08:17;176;434;"Do Your Mistakes When Virat Kohli Is Batting, Even GOD Is Watching When He Plays. #RCBvSRH #SRHvsRCB #IPL #IPL2016";;;#RCBvSRH #SRHvsRCB #IPL #IPL2016;"719907397502775296";https://twitter.com/SirJadeja/status/719907397502775296
MohitParmarr;2016-04-12 08:01;7;17;"If RCB cant win the tournament this year with this team(add Mitchell starc to playing xi) ,then they can never Win the tournament. #ipl2016";;;#ipl2016;"719903304545890308";https://twitter.com/MohitParmarr/status/719903304545890308
VVSLaxman281;2016-04-12 05:51;92;489;"Looking forward 2 a good start to #ipl2016 Good luck Team @SunRisers for the 1st match against RCB Just have fun &express yourself";;@SunRisers;#ipl2016;"719870540253630464";https://twitter.com/VVSLaxman281/status/719870540253630464
Fenda_India;2016-04-12 03:50;66;55;"It's RCB vs Sunrisers tonight! Can you guess how many runs each team will score in the first 10 overs? #IPL2016 pic.twitter.com/OOBO3wIPlC";;;#IPL2016;"719840137924861953";https://twitter.com/Fenda_India/status/719840137924861953
ImRahulSharma3;2016-04-12 02:54;18;57;"Gudluk for the first match rcb boys my fav besties brothers @imVkohli @JadhavKedar @mandeeps12 @RCBTweets #IPL2016";;@imVkohli @JadhavKedar @mandeeps12 @RCBTweets;#IPL2016;"719825959847743488";https://twitter.com/ImRahulSharma3/status/719825959847743488
CricketNDTV;2016-04-11 22:23;33;100;"Vijay Mallya gave a young Virat Kohli a chance in #RCB in 2008. Now, this superstar has praised him #IPL2016 http:// goo.gl/CoROXS";;;#RCB #IPL2016;"719757731419148288";https://twitter.com/CricketNDTV/status/719757731419148288
TOISportsNews;2016-04-11 22:15;22;96;"#IPL2016 @DJBravo47 first bowler to claim 300 wickets in T20s http:// timesofindia.indiatimes.com/top-stories/To p-10-wicket-takers-in-Twenty20s/articleshow/51789599.cms pic.twitter.com/3t5AIOneAw";;@DJBravo47;#IPL2016;"719755680702304256";https://twitter.com/TOISportsNews/status/719755680702304256
iSumanth;2016-04-11 21:51;26;122;"Sporting the only color that matters for me this #IPL2016 . Let's bring the fight this summer @SunRisers #OrangeArmy pic.twitter.com/qU368loHPO";;@SunRisers;#IPL2016 #OrangeArmy;"719749745925865472";https://twitter.com/iSumanth/status/719749745925865472
ESPNcricinfo;2016-04-11 21:41;23;68;"Sunrisers Hyderabad team preview: http:// es.pn/20dUWFW #IPL2016";;;#IPL2016;"719747291213537280";https://twitter.com/ESPNcricinfo/status/719747291213537280
CricketNDTV;2016-04-11 20:51;33;51;"#IPL2016 : Dwayne Bravo creates history, becomes first bowler to take 300 wickets in Twenty20s #GLvsKXIP http:// goo.gl/OU9tBM";;;#IPL2016 #GLvsKXIP;"719734772713410560";https://twitter.com/CricketNDTV/status/719734772713410560
markbutcher72;2016-04-11 10:57;3;14;"The 2 newcomers @RPSupergiants & @TheGujaratLions have got off to a winning start. Should be a cracker here in Rajkot on Thursday #IPL2016";;@RPSupergiants @TheGujaratLions;#IPL2016;"719585182769020929";https://twitter.com/markbutcher72/status/719585182769020929
SeerviBharath;2016-04-11 10:09;8;10;"Parthiv Patel and Aaron Finch have each played for 6 teams in IPL - most by a player. #GLvsKXIP #IPL2016";Mumbai, India;;#GLvsKXIP #IPL2016;"719573069233152000";https://twitter.com/SeerviBharath/status/719573069233152000
ESPNcricinfo;2016-04-11 09:45;96;235;"ICYMI: Dwayne Bravo became the first to reach 300 T20 wickets WATCH (US only) - http:// es.pn/1StrDtc #IPL2016 pic.twitter.com/EXzdwBAZlX";;;#IPL2016;"719567113447477248";https://twitter.com/ESPNcricinfo/status/719567113447477248
SeerviBharath;2016-04-11 08:18;12;36;"Gayle and Miller are the only players to have scored 1000+ runs in IPL at average of 40+ and strike rate of 140+. #GLvsKXIP #IPL2016";Mumbai, India;;#GLvsKXIP #IPL2016;"719545203871252480";https://twitter.com/SeerviBharath/status/719545203871252480
cricbuzz;2016-04-11 07:29;86;248;"Raina has played all of CSK's 132 games in IPL. Today, 1st time, he represents a team other than CSK in IPL #IPL2016 pic.twitter.com/F1BN1ToyQ4";;;#IPL2016;"719532790321025025";https://twitter.com/cricbuzz/status/719532790321025025
TOISportsNews;2016-04-11 06:22;39;58;"#IPL2016 Hope cricketers haven't complained, says @bhogleharsha on @IPL ouster http:// timesofindia.indiatimes.com/sports/ipl/new s/Hope-cricketers-havent-complained-says-Bhogle-on-IPL-ouster/articleshow/51780786.cms pic.twitter.com/WNbQb8DFu0";;@bhogleharsha @IPL;#IPL2016;"719515902610268160";https://twitter.com/TOISportsNews/status/719515902610268160
cricbuzz;2016-04-11 05:25;37;67;"Kohli: We'd like to be in a position where we are not dependent on anyone to qualify. #RCB #IPL2016";;;#RCB #IPL2016;"719501624608030720";https://twitter.com/cricbuzz/status/719501624608030720
cricbuzz;2016-04-11 05:23;38;76;"Kohli: It has been a wonderful journey and I'm very grateful to the team. They have always understood my position. #RCB #IPL2016";;;#RCB #IPL2016;"719501029469892608";https://twitter.com/cricbuzz/status/719501029469892608
me_sushanth;2016-04-11 02:53;29;104;"It's that time of the year! Thank You @SunRisers ! Go #OrangeArmy #IPL2016 r @KarthikK23 pic.twitter.com/TxEUXgE90Y";;@SunRisers @KarthikK23;#OrangeArmy #IPL2016;"719463382957436930";https://twitter.com/me_sushanth/status/719463382957436930
ESPNcricinfo;2016-04-10 23:26;39;107;"This IPL, with Gujarat Lions, Suresh Raina gets to be his own man and lead his own team http:// es.pn/1YoBV2h #IPL2016";;;#IPL2016;"719411396346130432";https://twitter.com/ESPNcricinfo/status/719411396346130432
